gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g21145.t1,153,236,194,109,51,117,422,303,51,229,136,83,174,387,132,192,148,315,446,61,52,221,262,266,154,204,206,297,245,86,258,448
gene-Pocillopora_meandrina_HIv1___RNAseq.g21409.t1,48,150,112,75,8,8,276,287,40,38,59,23,141,249,6,22,60,18,66,5,0,33,71,169,102,44,127,31,36,10,175,80
gene-Pocillopora_meandrina_HIv1___RNAseq.g21591.t1,26,100,113,36,17,540,88,196,75,18,56,97,123,121,9,24,74,24,87,53,21,26,68,113,63,43,93,241,67,56,115,323
gene-Pocillopora_meandrina_HIv1___RNAseq.g21636.t1,27,27,26,18,7,81,7,165,21,3,21,22,0,0,7,12,139,53,23,56,44,26,53,29,22,10,68,26,34,29,85,271
gene-Pocillopora_meandrina_HIv1___RNAseq.g21959.t1,295,292,154,109,66,128,281,541,194,117,269,258,264,361,64,97,204,67,107,74,57,174,323,472,280,168,334,157,288,157,458,227
gene-Pocillopora_meandrina_HIv1___RNAseq.g22028.t1,2149,1809,2945,1591,350,1837,1961,5434,2492,1146,1896,1343,1428,2238,1063,1260,2373,1389,1317,1037,111,1377,2254,3609,1459,1102,2890,1922,2399,726,2998,2350
gene-Pocillopora_meandrina_HIv1___TS.g27041.t2,305,397,336,136,42,119,735,528,152,335,145,116,257,418,140,182,286,232,323,66,0,309,258,409,203,186,293,256,413,62,349,191
gene-Pocillopora_meandrina_HIv1___RNAseq.g22216.t1,894,1159,860,497,169,326,966,1379,424,463,546,512,450,1114,402,509,971,448,738,179,57,683,709,1283,694,639,1468,542,960,233,1079,534
gene-Pocillopora_meandrina_HIv1___RNAseq.g22443.t1,20,81,126,60,47,113,165,143,28,73,69,116,69,61,29,23,33,11,52,36,57,31,57,43,40,21,77,105,21,29,85,114
gene-Pocillopora_meandrina_HIv1___RNAseq.g22596.t1,2122,1818,2496,1309,475,2064,1409,3318,1759,993,1497,2370,1238,1874,1003,1083,2077,1155,1495,1791,256,1724,1992,2089,1324,956,2122,2227,1819,902,2381,2721
